date,city,city_name,actual_high_temp,actual_low_temp,actual_mean_temp,pressure_msl,wind_speed,wind_direction,wind_gusts,precipitation,rain,humidity,dewpoint,cloudcover,sunshine_hours,wind_from_north,wind_from_south,wind_from_east,wind_from_west,pressure_change_24h,temp_range
2020-04-07,HOU,Houston (Hobby),82.5,71.2,76.3,1014.4,10.2,189,20.6,0.031,0.031,88,72.3,89,5.996411111111112,0,1,0,0,-1.3000000000000682,11.299999999999997
2020-04-08,HOU,Houston (Hobby),85.3,72.4,77.7,1012.0,9.7,212,19.0,0.043,0.043,86,72.8,89,6.732027777777778,0,1,0,0,-2.3999999999999773,12.899999999999991
2020-04-09,HOU,Houston (Hobby),85.3,70.0,76.4,1011.0,14.4,272,23.9,0.693,0.693,87,72.0,78,5.401,0,0,0,1,-1.0,15.299999999999997
2020-04-10,HOU,Houston (Hobby),73.9,66.2,70.2,1015.0,14.2,54,26.8,0.024,0.024,77,62.1,96,8.526911111111112,0,0,1,0,4.0,7.700000000000003
2020-04-11,HOU,Houston (Hobby),77.9,62.1,70.7,1011.2,16.8,118,30.6,0.075,0.075,76,62.6,85,4.296766666666667,0,0,1,0,-3.7999999999999545,15.800000000000004
2020-04-12,HOU,Houston (Hobby),87.3,66.7,77.2,1002.2,17.7,222,36.9,0.067,0.067,71,65.9,47,10.587222222222222,0,1,0,0,-9.0,20.599999999999994
2020-04-13,HOU,Houston (Hobby),68.6,52.7,61.4,1016.1,15.4,356,28.6,0.0,0.0,61,47.3,0,11.92553611111111,1,0,0,0,13.899999999999977,15.899999999999991
2020-04-14,HOU,Houston (Hobby),69.6,47.7,58.6,1019.1,13.3,17,24.4,0.0,0.0,66,46.5,1,11.945622222222221,1,0,0,0,3.0,21.89999999999999
2020-04-15,HOU,Houston (Hobby),67.2,48.7,57.8,1021.0,11.5,28,22.8,0.0,0.0,58,42.9,12,11.819344444444445,1,0,0,0,1.8999999999999773,18.5
2020-04-16,HOU,Houston (Hobby),71.7,51.8,62.7,1020.5,13.9,105,26.4,0.0,0.0,63,49.9,35,11.725200000000001,0,0,1,0,-0.5,19.900000000000006
2020-04-17,HOU,Houston (Hobby),79.2,64.5,71.2,1016.4,10.4,135,19.0,0.614,0.614,82,65.4,95,0.9788833333333333,0,1,0,0,-4.100000000000023,14.700000000000003
2020-04-18,HOU,Houston (Hobby),72.7,61.8,67.8,1014.6,12.3,68,25.1,0.5,0.5,90,64.6,93,6.225538888888889,0,0,1,0,-1.7999999999999545,10.900000000000006
2020-04-19,HOU,Houston (Hobby),81.2,69.4,73.1,1007.1,9.9,198,29.1,1.028,1.028,92,70.6,82,3.378216666666667,0,1,0,0,-7.5,11.799999999999997
2020-04-20,HOU,Houston (Hobby),80.7,63.6,71.3,1010.7,8.0,88,15.7,0.0,0.0,84,65.8,83,7.460272222222222,0,0,1,0,3.6000000000000227,17.1
2020-04-21,HOU,Houston (Hobby),80.3,66.1,71.6,1014.0,11.6,115,22.4,0.031,0.031,86,66.7,70,7.362438888888889,0,0,1,0,3.2999999999999545,14.200000000000003
2020-04-22,HOU,Houston (Hobby),82.4,69.2,75.8,1008.7,21.5,165,39.8,0.087,0.087,87,71.4,95,4.763219444444444,0,1,0,0,-5.2999999999999545,13.200000000000003
2020-04-23,HOU,Houston (Hobby),83.3,66.1,76.2,1007.1,16.4,320,30.6,0.004,0.004,71,64.5,38,11.496033333333333,1,0,0,0,-1.6000000000000227,17.200000000000003
2020-04-24,HOU,Houston (Hobby),86.7,63.2,74.4,1008.7,14.3,157,26.2,0.0,0.0,73,64.2,4,12.127227777777778,0,1,0,0,1.6000000000000227,23.5
2020-04-25,HOU,Houston (Hobby),77.6,65.0,71.3,1015.2,16.4,354,29.1,0.0,0.0,68,59.2,45,7.866719444444444,1,0,0,0,6.5,12.599999999999994
2020-04-26,HOU,Houston (Hobby),81.8,59.7,70.4,1021.0,9.5,61,18.1,0.0,0.0,56,52.6,2,12.411422222222223,0,0,1,0,5.7999999999999545,22.099999999999994
2020-04-27,HOU,Houston (Hobby),81.0,62.1,71.9,1019.4,16.3,147,30.4,0.0,0.0,71,61.1,51,12.14138611111111,0,1,0,0,-1.6000000000000227,18.9
2020-04-28,HOU,Houston (Hobby),76.6,68.5,72.1,1014.1,17.3,145,30.9,1.85,1.85,89,68.8,95,2.7963500000000003,0,1,0,0,-5.2999999999999545,8.099999999999994
2020-04-29,HOU,Houston (Hobby),79.6,61.9,72.1,1014.4,14.1,278,24.6,0.339,0.339,75,62.6,78,6.962988888888888,0,0,0,1,0.2999999999999545,17.699999999999996
2020-04-30,HOU,Houston (Hobby),78.0,56.0,67.6,1018.7,8.1,322,13.9,0.0,0.0,58,51.4,0,12.508888888888889,1,0,0,0,4.300000000000068,22.0
2020-05-01,HOU,Houston (Hobby),80.1,60.1,70.0,1017.7,12.0,172,22.8,0.0,0.0,71,59.5,44,12.306091666666667,0,1,0,0,-1.0,19.999999999999993
2020-05-02,HOU,Houston (Hobby),83.0,66.7,74.4,1017.3,13.5,165,24.4,0.0,0.0,74,65.0,61,11.888033333333333,0,1,0,0,-0.40000000000009095,16.299999999999997
2020-05-03,HOU,Houston (Hobby),84.2,67.2,75.3,1015.4,12.1,170,23.5,0.0,0.0,77,66.8,24,11.340355555555556,0,1,0,0,-1.8999999999999773,17.0
2020-05-04,HOU,Houston (Hobby),87.0,70.6,77.0,1012.8,13.9,173,25.5,0.004,0.004,79,69.4,42,12.602572222222223,0,1,0,0,-2.6000000000000227,16.400000000000006
2020-05-05,HOU,Houston (Hobby),87.4,73.0,78.3,1013.0,11.9,201,20.4,0.106,0.106,82,71.9,57,11.280991666666667,0,1,0,0,0.20000000000004547,14.400000000000006
2020-05-06,HOU,Houston (Hobby),80.9,64.6,73.1,1019.4,12.8,63,23.9,0.295,0.295,62,58.4,36,12.62441111111111,0,0,1,0,6.399999999999977,16.30000000000001
2020-05-07,HOU,Houston (Hobby),80.6,60.0,71.6,1018.6,16.1,137,30.4,0.0,0.0,71,61.1,10,12.0,0,1,0,0,-0.7999999999999545,20.599999999999994
2020-05-08,HOU,Houston (Hobby),85.7,69.9,76.1,1013.1,17.6,207,32.4,0.756,0.756,78,68.8,67,8.0,0,1,0,0,-5.5,15.799999999999997
2020-05-09,HOU,Houston (Hobby),72.8,60.2,66.6,1020.1,12.9,55,24.2,0.0,0.0,67,55.1,99,9.275686111111112,0,0,1,0,7.0,12.599999999999994
2020-05-10,HOU,Houston (Hobby),76.5,60.0,68.0,1021.7,8.0,59,17.4,0.0,0.0,63,54.5,27,12.270266666666666,0,0,1,0,1.6000000000000227,16.5
2020-05-11,HOU,Houston (Hobby),78.1,61.0,70.1,1021.5,11.0,104,21.7,0.0,0.0,69,58.6,55,12.165341666666668,0,0,1,0,-0.20000000000004547,17.099999999999994
2020-05-12,HOU,Houston (Hobby),81.4,68.8,74.2,1016.7,15.9,144,30.2,0.075,0.075,74,65.0,94,9.300694444444444,0,1,0,0,-4.7999999999999545,12.600000000000009
2020-05-13,HOU,Houston (Hobby),83.9,70.9,76.3,1014.7,15.7,142,27.3,0.63,0.63,78,68.4,60,12.2117,0,1,0,0,-2.0,13.0
2020-05-14,HOU,Houston (Hobby),81.1,72.3,75.8,1013.4,12.0,140,27.5,0.15,0.15,86,71.1,78,9.476166666666666,0,1,0,0,-1.3000000000000682,8.799999999999997
2020-05-15,HOU,Houston (Hobby),81.6,71.6,75.8,1010.9,12.2,135,23.0,0.193,0.193,89,72.2,83,7.705402777777778,0,1,0,0,-2.5,10.0
2020-05-16,HOU,Houston (Hobby),82.9,68.6,74.7,1007.7,14.7,217,27.3,1.461,1.461,80,67.5,76,5.3751500000000005,0,1,0,0,-3.199999999999932,14.300000000000011
2020-05-17,HOU,Houston (Hobby),83.6,63.6,72.8,1011.7,13.4,305,25.1,0.059,0.059,74,63.6,59,7.530611111111111,0,0,0,1,4.0,19.999999999999993
2020-05-18,HOU,Houston (Hobby),87.5,63.3,76.3,1012.8,9.1,264,15.7,0.0,0.0,73,65.9,0,12.740855555555555,0,0,0,1,1.099999999999909,24.200000000000003
2020-05-19,HOU,Houston (Hobby),89.7,69.0,79.0,1010.1,11.5,203,20.8,0.0,0.0,77,70.5,4,12.750536111111112,0,1,0,0,-2.699999999999932,20.700000000000003
2020-05-20,HOU,Houston (Hobby),90.2,71.0,79.6,1009.5,11.7,173,22.4,0.012,0.012,83,73.2,25,10.760169444444445,0,1,0,0,-0.6000000000000227,19.200000000000003
2020-05-21,HOU,Houston (Hobby),87.1,70.2,78.6,1010.5,13.6,150,25.3,0.012,0.012,83,72.6,76,9.1438,0,1,0,0,1.0,16.89999999999999
